id	filename	md5	size
3816d1f1-427f-44d9-a28b-a7a3676590f4	TCGA-DB-5281-01Z-00-DX1.1C19F78D-2E61-41E8-976D-0EC0A2A45031.svs	1fe6a20ab1e7183cc594b321fe769d8e	1910489438
279c30d3-7fd0-4634-8587-4a9e67c8d1dc	TCGA-DB-A64V-01Z-00-DX1.F6D441CA-6613-4F91-9E54-0FBB3F17CE08.svs	1ea19dd6323db692cf2cc2c8f9605fee	2310352828
59836d0e-475f-492f-8e31-fde8c28f6527	TCGA-R8-A6MO-01Z-00-DX1.C29AAA07-B083-47E5-9F55-D3A06F3A5415.svs	2b16c9db91f0d13156abe6db929e60ea	3031461074
9125d620-6080-4b1c-ab81-cff18466f19a	TCGA-R8-A6MO-01Z-00-DXA.CD6E7624-8EC3-4431-A3DC-2739419F9E12.svs	acdc0498f68d450a32f34438d4847580	3524518240
d914f31a-410c-4aa0-abc2-38132b8b3264	TCGA-R8-A6MO-01Z-00-DXB.874632D2-DD16-441A-927D-DF54C5ED35F2.svs	2a666c680e0c284d5427e41a8c154f75	2237966876
771e8981-1d39-4516-ab73-8715c5826848	TCGA-R8-A6MO-01Z-00-DXD.D62DDC11-431F-41A4-9F9F-DA33E90D9DC4.svs	fb134f4beb0307780ede0312ed50d3d4	2750332720
7713ae0c-c25f-4396-8035-056db64d6f5e	TCGA-R8-A6MO-01Z-00-DX9.95C9E232-7E39-47D1-9657-8C6D955FEF2A.svs	b7369e82a6fd85b10112a2ffd4c794ad	3124601540
9b1f01ea-fd03-40df-ae42-b9e6bbf12f37	TCGA-R8-A6MO-01Z-00-DX5.3CFCEAB5-5D93-4545-836E-949896252732.svs	1750922cd6b6c3559772e8e9ee721418	2596189948
0d022510-067c-4cd3-b1b5-98eab8343fb9	TCGA-VM-A8CB-01Z-00-DX8.824FCA58-A9DE-4E3F-8DBC-B38C85A34375.svs	7693020f27f2cd63621eaf81c9040551	2174368515
3150c8b8-2578-4ebc-97dd-697a9ad19a9d	TCGA-VM-A8CB-01Z-00-DX5.E3E9FD68-DDFE-4AC2-B898-B888E4E127FF.svs	c23d35ca916cf765315a63545d084b29	2332909565
